Hcv1.av93.c1.g1001.i1	mRNA.RE12872
Hcv1.av93.c11.g480.i1	mRNA.RE02145
Hcv1.av93.c11.g483.i1	mRNA.RE10005
Hcv1.av93.c11.g487.i1	mRNA.RE03228
Hcv1.av93.c11.g491.i1	mRNA.RE10727
Hcv1.av93.c11.g493.i5	mRNA.RE11759
Hcv1.av93.c11.g495.i1	mRNA.RE09427
Hcv1.av93.c11.g496.i1	mRNA.RE09669
Hcv1.av93.c11.g499.i1	mRNA.RE12851
Hcv1.av93.c11.g50.i1	mRNA.RE11537
Hcv1.av93.c11.g504.i1	mRNA.RE02283
Hcv1.av93.c11.g506.i1	mRNA.RE13230
Hcv1.av93.c11.g507.i1	mRNA.RE02004
Hcv1.av93.c11.g516.i1	mRNA.RE13789
Hcv1.av93.c11.g52.i1	mRNA.RE16248
Hcv1.av93.c11.g520.i2	mRNA.RE00300
Hcv1.av93.c11.g527.i1	mRNA.RE08703
Hcv1.av93.c11.g528.i1	mRNA.RE13878
Hcv1.av93.c11.g529.i1	mRNA.RE11742
Hcv1.av93.c11.g530.i1	mRNA.RE04729
Hcv1.av93.c11.g531.i1	mRNA.RE12644
Hcv1.av93.c11.g534.i1	mRNA.RE14356
Hcv1.av93.c11.g535.i1	mRNA.RE03848
Hcv1.av93.c11.g537.i1	mRNA.RE06209
Hcv1.av93.c11.g54.i1	mRNA.RE07673
Hcv1.av93.c11.g541.i1	mRNA.RE13257
Hcv1.av93.c11.g551.i1	mRNA.RE13002
Hcv1.av93.c11.g559.i1	mRNA.RE01966
Hcv1.av93.c11.g56.i1	mRNA.RE07661
Hcv1.av93.c11.g561.i1	mRNA.RE05991
Hcv1.av93.c11.g562.i1	mRNA.RE03326
Hcv1.av93.c11.g563.i1	mRNA.RE12153
Hcv1.av93.c11.g568.i1	mRNA.RE04921
Hcv1.av93.c11.g570.i1	mRNA.RE11797
Hcv1.av93.c11.g573.i2	mRNA.RE13575
Hcv1.av93.c11.g574.i1	mRNA.RE11002
Hcv1.av93.c11.g575.i1	mRNA.RE01883
Hcv1.av93.c11.g581.i1	mRNA.RE15811
Hcv1.av93.c11.g588.i1	mRNA.RE12587
Hcv1.av93.c11.g589.i2	mRNA.RE10873
Hcv1.av93.c11.g593.i1	mRNA.RE02524
Hcv1.av93.c11.g594.i4	mRNA.RE07155
Hcv1.av93.c11.g6.i2	mRNA.RE09147
Hcv1.av93.c11.g606.i1	mRNA.RE04048
Hcv1.av93.c11.g607.i1	mRNA.RE13061
Hcv1.av93.c11.g611.i1	mRNA.RE15113
Hcv1.av93.c11.g612.i1	mRNA.RE10383
Hcv1.av93.c11.g616.i1	mRNA.RE04497
Hcv1.av93.c11.g618.i1	mRNA.RE07857
Hcv1.av93.c11.g620.i1	mRNA.RE15970
Hcv1.av93.c11.g621.i1	mRNA.RE06294
Hcv1.av93.c11.g624.i1	mRNA.RE12632
Hcv1.av93.c11.g625.i1	mRNA.RE10062
Hcv1.av93.c11.g626.i1	mRNA.RE03001
Hcv1.av93.c11.g628.i1	mRNA.RE10236
Hcv1.av93.c11.g63.i1	mRNA.RE09250
Hcv1.av93.c11.g630.i1	mRNA.RE10587
Hcv1.av93.c11.g632.i1	mRNA.RE13370
Hcv1.av93.c11.g636.i1	mRNA.RE03631
Hcv1.av93.c11.g638.i1	mRNA.RE11632
Hcv1.av93.c11.g639.i1	mRNA.RE03860
Hcv1.av93.c11.g64.i1	mRNA.RE00088
Hcv1.av93.c11.g640.i1	mRNA.RE14068
Hcv1.av93.c11.g641.i1	mRNA.RE04796
Hcv1.av93.c11.g646.i1	mRNA.RE04446
Hcv1.av93.c11.g647.i1	mRNA.RE10549
Hcv1.av93.c11.g651.i1	mRNA.RE14662
Hcv1.av93.c11.g653.i1	mRNA.RE11272
Hcv1.av93.c11.g656.i1	mRNA.RE15137
Hcv1.av93.c11.g657.i1	mRNA.RE09647
Hcv1.av93.c11.g66.i2	mRNA.RE16269
Hcv1.av93.c11.g660.i1	mRNA.RE08680
Hcv1.av93.c11.g661.i1	mRNA.RE07430
Hcv1.av93.c11.g665.i1	mRNA.RE07551
Hcv1.av93.c11.g667.i1	mRNA.RE15669
Hcv1.av93.c11.g669.i1	mRNA.RE11575
Hcv1.av93.c11.g67.i1	mRNA.RE04693
Hcv1.av93.c11.g670.i1	mRNA.RE08846
Hcv1.av93.c11.g674.i2	mRNA.RE07122
Hcv1.av93.c11.g675.i1	mRNA.RE11642
Hcv1.av93.c11.g677.i1	mRNA.RE01870
Hcv1.av93.c11.g68.i1	mRNA.RE09625
Hcv1.av93.c11.g680.i1	mRNA.RE09134
Hcv1.av93.c11.g685.i1	mRNA.RE01891
Hcv1.av93.c11.g686.i1	mRNA.RE07414
Hcv1.av93.c11.g690.i1	mRNA.RE09003
Hcv1.av93.c11.g703.i1	mRNA.RE04335
Hcv1.av93.c11.g710.i1	mRNA.RE10308
Hcv1.av93.c11.g711.i1	mRNA.RE04821
Hcv1.av93.c11.g712.i1	mRNA.RE10451
Hcv1.av93.c11.g718.i1	mRNA.RE04093
Hcv1.av93.c11.g719.i1	mRNA.RE13378
Hcv1.av93.c11.g72.i1	mRNA.RE03406
Hcv1.av93.c11.g725.i1	mRNA.RE00081
Hcv1.av93.c11.g732.i1	mRNA.RE05985
Hcv1.av93.c11.g734.i1	mRNA.RE12603
Hcv1.av93.c11.g736.i1	mRNA.RE01979
Hcv1.av93.c11.g737.i1	mRNA.RE16010
Hcv1.av93.c11.g738.i1	mRNA.RE04895
Hcv1.av93.c11.g740.i2	mRNA.RE11584
Hcv1.av93.c11.g745.i1	mRNA.RE12322
Hcv1.av93.c11.g746.i1	mRNA.RE15031
Hcv1.av93.c11.g748.i2	mRNA.RE09538
Hcv1.av93.c11.g759.i1	mRNA.RE10061
Hcv1.av93.c11.g76.i1	mRNA.RE11640
Hcv1.av93.c11.g760.i1	mRNA.RE10640
Hcv1.av93.c11.g761.i1	mRNA.RE12600
Hcv1.av93.c11.g762.i1	mRNA.RE16679
Hcv1.av93.c11.g763.i1	mRNA.RE06135
Hcv1.av93.c11.g766.i1	mRNA.RE09623
Hcv1.av93.c11.g768.i1	mRNA.RE07675
Hcv1.av93.c11.g770.i1	mRNA.RE13117
Hcv1.av93.c11.g771.i1	mRNA.RE10224
Hcv1.av93.c11.g772.i1	mRNA.RE12663
Hcv1.av93.c11.g776.i1	mRNA.RE10115
Hcv1.av93.c11.g779.i2	mRNA.RE00413
Hcv1.av93.c11.g780.i1	mRNA.RE10413
Hcv1.av93.c11.g782.i1	mRNA.RE14226
Hcv1.av93.c11.g785.i1	mRNA.RE07860
Hcv1.av93.c11.g790.i1	mRNA.RE11562
Hcv1.av93.c11.g793.i2	mRNA.RE10973
Hcv1.av93.c11.g794.i5	mRNA.RE12876
Hcv1.av93.c11.g795.i5	mRNA.RE07682
Hcv1.av93.c11.g801.i1	mRNA.RE09859
Hcv1.av93.c11.g802.i1	mRNA.RE15408
Hcv1.av93.c11.g808.i1	mRNA.RE04918
Hcv1.av93.c11.g816.i1	mRNA.RE07491
Hcv1.av93.c11.g821.i1	mRNA.RE09975
Hcv1.av93.c11.g825.i1	mRNA.RE00608
Hcv1.av93.c11.g827.i1	mRNA.RE07265
Hcv1.av93.c11.g830.i1	mRNA.RE08586
Hcv1.av93.c11.g831.i1	mRNA.RE15802
Hcv1.av93.c11.g834.i1	mRNA.RE08850
Hcv1.av93.c11.g837.i1	mRNA.RE03948
Hcv1.av93.c11.g838.i1	mRNA.RE07908
Hcv1.av93.c11.g839.i1	mRNA.RE14554
Hcv1.av93.c11.g841.i1	mRNA.RE12668
Hcv1.av93.c11.g842.i1	mRNA.RE05095
Hcv1.av93.c11.g850.i1	mRNA.RE12773
Hcv1.av93.c11.g863.i1	mRNA.RE05019
Hcv1.av93.c11.g866.i2	mRNA.RE10434
Hcv1.av93.c11.g871.i1	mRNA.RE04402
Hcv1.av93.c11.g872.i1	mRNA.RE09379
Hcv1.av93.c11.g875.i1	mRNA.RE06684
Hcv1.av93.c11.g876.i1	mRNA.RE06525
Hcv1.av93.c11.g881.i1	mRNA.RE09964
Hcv1.av93.c11.g883.i2	mRNA.RE10816
Hcv1.av93.c11.g886.i1	mRNA.RE15983
Hcv1.av93.c11.g887.i1	mRNA.RE11577
Hcv1.av93.c11.g889.i1	mRNA.RE05695
Hcv1.av93.c11.g890.i1	mRNA.RE11750
Hcv1.av93.c11.g891.i2	mRNA.RE12631
Hcv1.av93.c11.g893.i1	mRNA.RE11089
Hcv1.av93.c11.g894.i1	mRNA.RE01180
Hcv1.av93.c11.g895.i1	mRNA.RE12919
Hcv1.av93.c11.g896.i1	mRNA.RE05506
Hcv1.av93.c11.g898.i1	mRNA.RE10043
Hcv1.av93.c11.g900.i1	mRNA.RE02031
Hcv1.av93.c11.g903.i2	mRNA.RE07880
Hcv1.av93.c11.g908.i1	mRNA.RE07715
Hcv1.av93.c11.g911.i1	mRNA.RE12974
Hcv1.av93.c11.g914.i1	mRNA.RE01956
Hcv1.av93.c11.g919.i1	mRNA.RE10010
Hcv1.av93.c11.g922.i1	mRNA.RE03913
Hcv1.av93.c11.g924.i1	mRNA.RE05906
Hcv1.av93.c11.g928.i1	mRNA.RE14748
Hcv1.av93.c11.g929.i1	mRNA.RE10694
Hcv1.av93.c11.g930.i1	mRNA.RE09645
Hcv1.av93.c11.g932.i1	mRNA.RE16022
Hcv1.av93.c11.g933.i1	mRNA.RE00669
Hcv1.av93.c11.g939.i1	mRNA.RE11674
Hcv1.av93.c11.g94.i1	mRNA.RE06008
Hcv1.av93.c11.g940.i1	mRNA.RE10458
Hcv1.av93.c11.g945.i1	mRNA.RE07706
Hcv1.av93.c11.g951.i1	mRNA.RE11245
Hcv1.av93.c11.g952.i1	mRNA.RE16033
Hcv1.av93.c11.g958.i1	mRNA.RE10822
Hcv1.av93.c11.g959.i1	mRNA.RE09544
Hcv1.av93.c11.g96.i1	mRNA.RE08699
Hcv1.av93.c11.g961.i1	mRNA.RE06930
Hcv1.av93.c11.g962.i1	mRNA.RE13238
Hcv1.av93.c11.g963.i3	mRNA.RE11550
Hcv1.av93.c11.g967.i1	mRNA.RE11712
Hcv1.av93.c11.g968.i1	mRNA.RE10982
Hcv1.av93.c11.g969.i1	mRNA.RE04296
Hcv1.av93.c11.g970.i1	mRNA.RE09377
Hcv1.av93.c11.g971.i1	mRNA.RE09486
Hcv1.av93.c11.g972.i1	mRNA.RE07590
Hcv1.av93.c11.g973.i1	mRNA.RE00211
Hcv1.av93.c11.g975.i1	mRNA.RE10051
Hcv1.av93.c11.g978.i1	mRNA.RE11293
Hcv1.av93.c11.g979.i1	mRNA.RE12336
Hcv1.av93.c11.g980.i1	mRNA.RE13208
Hcv1.av93.c11.g982.i1	mRNA.RE02314
Hcv1.av93.c11.g983.i2	mRNA.RE03033
Hcv1.av93.c11.g985.i1	mRNA.RE09403
Hcv1.av93.c11.g986.i1	mRNA.RE14955
Hcv1.av93.c11.g987.i1	mRNA.RE07537
Hcv1.av93.c11.g990.i1	mRNA.RE14773
Hcv1.av93.c11.g992.i1	mRNA.RE04922
Hcv1.av93.c12.g100.i1	mRNA.RE10418
Hcv1.av93.c12.g101.i2	mRNA.RE01958
Hcv1.av93.c12.g110.i2	mRNA.RE10573
Hcv1.av93.c12.g118.i1	mRNA.RE05965
Hcv1.av93.c12.g12.i1	mRNA.RE14867
Hcv1.av93.c12.g123.i1	mRNA.RE13499
Hcv1.av93.c12.g124.i1	mRNA.RE04251
Hcv1.av93.c12.g125.i2	mRNA.RE10500
Hcv1.av93.c12.g135.i1	mRNA.RE12820
Hcv1.av93.c12.g136.i1	mRNA.RE01433
Hcv1.av93.c12.g146.i1	mRNA.RE04413
Hcv1.av93.c12.g147.i2	mRNA.RE10065
Hcv1.av93.c12.g149.i1	mRNA.RE09744
Hcv1.av93.c12.g15.i2	mRNA.RE13151
Hcv1.av93.c12.g150.i2	mRNA.RE10556
Hcv1.av93.c12.g154.i1	mRNA.RE10175
Hcv1.av93.c12.g156.i1	mRNA.RE09661
Hcv1.av93.c12.g157.i1	mRNA.RE01623
Hcv1.av93.c12.g159.i1	mRNA.RE11816
Hcv1.av93.c12.g16.i1	mRNA.RE15556
Hcv1.av93.c12.g160.i2	mRNA.RE15329
Hcv1.av93.c12.g161.i2	mRNA.RE06271
Hcv1.av93.c12.g162.i1	mRNA.RE11568
Hcv1.av93.c12.g164.i1	mRNA.RE03073
Hcv1.av93.c12.g167.i2	mRNA.RE02250
Hcv1.av93.c12.g169.i1	mRNA.RE12167
Hcv1.av93.c12.g174.i1	mRNA.RE00086
Hcv1.av93.c12.g178.i1	mRNA.RE02740
Hcv1.av93.c12.g18.i1	mRNA.RE11578
Hcv1.av93.c12.g184.i2	mRNA.RE12802
Hcv1.av93.c12.g19.i3	mRNA.RE06883
Hcv1.av93.c12.g193.i3	mRNA.RE10290
Hcv1.av93.c12.g197.i1	mRNA.RE01967
Hcv1.av93.c12.g204.i1	mRNA.RE04792
Hcv1.av93.c12.g206.i1	mRNA.RE10123
Hcv1.av93.c12.g207.i1	mRNA.RE08673
Hcv1.av93.c12.g208.i1	mRNA.RE03350
Hcv1.av93.c12.g210.i1	mRNA.RE08354
Hcv1.av93.c12.g212.i1	mRNA.RE11580
Hcv1.av93.c12.g215.i2	mRNA.RE13280
Hcv1.av93.c12.g218.i1	mRNA.RE08263
Hcv1.av93.c12.g226.i1	mRNA.RE10519
Hcv1.av93.c12.g229.i1	mRNA.RE02749
Hcv1.av93.c12.g230.i1	mRNA.RE05946
Hcv1.av93.c12.g231.i1	mRNA.RE11010
Hcv1.av93.c12.g234.i1	mRNA.RE14225
Hcv1.av93.c12.g235.i1	mRNA.RE01459
Hcv1.av93.c12.g239.i1	mRNA.RE16129
Hcv1.av93.c12.g241.i1	mRNA.RE02457
Hcv1.av93.c12.g244.i1	mRNA.RE10544
Hcv1.av93.c12.g248.i2	mRNA.RE13587
Hcv1.av93.c12.g25.i1	mRNA.RE01053
Hcv1.av93.c12.g250.i1	mRNA.RE12331
Hcv1.av93.c12.g253.i1	mRNA.RE07671
Hcv1.av93.c12.g255.i1	mRNA.RE15545
Hcv1.av93.c12.g257.i1	mRNA.RE11450
Hcv1.av93.c12.g259.i1	mRNA.RE10548
Hcv1.av93.c12.g260.i1	mRNA.RE15144
Hcv1.av93.c12.g261.i1	mRNA.RE01101
Hcv1.av93.c12.g262.i1	mRNA.RE15826
Hcv1.av93.c12.g263.i2	mRNA.RE04830
Hcv1.av93.c12.g264.i1	mRNA.RE13888
Hcv1.av93.c12.g268.i1	mRNA.RE15143
Hcv1.av93.c12.g270.i1	mRNA.RE03574
Hcv1.av93.c12.g272.i1	mRNA.RE04787
Hcv1.av93.c12.g274.i2	mRNA.RE08334
Hcv1.av93.c12.g279.i1	mRNA.RE07362
Hcv1.av93.c12.g285.i1	mRNA.RE05179
Hcv1.av93.c12.g288.i1	mRNA.RE01426
Hcv1.av93.c12.g29.i1	mRNA.RE04888
Hcv1.av93.c12.g291.i1	mRNA.RE12413
Hcv1.av93.c12.g292.i1	mRNA.RE05913
Hcv1.av93.c12.g293.i1	mRNA.RE06875
Hcv1.av93.c12.g299.i1	mRNA.RE13174
Hcv1.av93.c12.g300.i1	mRNA.RE12353
Hcv1.av93.c12.g302.i1	mRNA.RE13120
Hcv1.av93.c12.g304.i1	mRNA.RE08338
Hcv1.av93.c12.g314.i1	mRNA.RE12206
Hcv1.av93.c12.g315.i1	mRNA.RE13147
Hcv1.av93.c12.g317.i1	mRNA.RE00501
Hcv1.av93.c12.g329.i1	mRNA.RE10455
Hcv1.av93.c12.g33.i1	mRNA.RE03911
Hcv1.av93.c12.g331.i1	mRNA.RE05266
Hcv1.av93.c12.g342.i1	mRNA.RE07222
Hcv1.av93.c12.g348.i1	mRNA.RE13128
Hcv1.av93.c12.g350.i1	mRNA.RE04757
Hcv1.av93.c12.g354.i1	mRNA.RE02105
Hcv1.av93.c12.g357.i1	mRNA.RE03306
Hcv1.av93.c12.g358.i4	mRNA.RE10235
Hcv1.av93.c12.g368.i1	mRNA.RE16077
Hcv1.av93.c12.g37.i1	mRNA.RE16069
Hcv1.av93.c12.g372.i1	mRNA.RE10597
Hcv1.av93.c12.g388.i1	mRNA.RE04837
Hcv1.av93.c12.g401.i1	mRNA.RE10543
Hcv1.av93.c12.g407.i1	mRNA.RE07499
Hcv1.av93.c12.g409.i1	mRNA.RE15768
Hcv1.av93.c12.g41.i1	mRNA.RE04632
Hcv1.av93.c12.g413.i1	mRNA.RE04035
Hcv1.av93.c12.g414.i1	mRNA.RE16630
Hcv1.av93.c12.g415.i1	mRNA.RE03153
Hcv1.av93.c12.g418.i1	mRNA.RE13019
Hcv1.av93.c12.g420.i1	mRNA.RE10547
Hcv1.av93.c12.g421.i1	mRNA.RE04793
Hcv1.av93.c12.g429.i1	mRNA.RE10788
Hcv1.av93.c12.g432.i1	mRNA.RE14669
Hcv1.av93.c12.g433.i1	mRNA.RE16266
Hcv1.av93.c12.g438.i1	mRNA.RE06554
Hcv1.av93.c12.g439.i1	mRNA.RE04043
Hcv1.av93.c12.g44.i1	mRNA.RE16027
Hcv1.av93.c12.g441.i1	mRNA.RE04311
Hcv1.av93.c12.g445.i2	mRNA.RE06794
Hcv1.av93.c12.g449.i1	mRNA.RE08686
Hcv1.av93.c12.g45.i1	mRNA.RE05260
Hcv1.av93.c12.g452.i1	mRNA.RE15455
Hcv1.av93.c12.g453.i1	mRNA.RE08337
Hcv1.av93.c12.g454.i2	mRNA.RE11864
Hcv1.av93.c12.g46.i1	mRNA.RE01407
Hcv1.av93.c12.g464.i1	mRNA.RE06121
Hcv1.av93.c12.g467.i1	mRNA.RE06840
Hcv1.av93.c12.g47.i1	mRNA.RE10937
Hcv1.av93.c12.g470.i2	mRNA.RE14250
Hcv1.av93.c12.g474.i1	mRNA.RE01965
Hcv1.av93.c12.g475.i1	mRNA.RE08165
Hcv1.av93.c12.g477.i1	mRNA.RE15385
Hcv1.av93.c12.g478.i1	mRNA.RE04365
Hcv1.av93.c12.g486.i1	mRNA.RE10008
Hcv1.av93.c12.g487.i1	mRNA.RE08260
Hcv1.av93.c12.g49.i1	mRNA.RE03587
Hcv1.av93.c12.g491.i1	mRNA.RE14428
Hcv1.av93.c12.g492.i1	mRNA.RE16583
Hcv1.av93.c12.g495.i1	mRNA.RE00401
Hcv1.av93.c12.g496.i1	mRNA.RE16045
Hcv1.av93.c12.g498.i1	mRNA.RE11001
Hcv1.av93.c12.g499.i1	mRNA.RE06354
Hcv1.av93.c12.g5.i2	mRNA.RE12256
Hcv1.av93.c12.g504.i2	mRNA.RE11091
Hcv1.av93.c12.g511.i1	mRNA.RE15962
Hcv1.av93.c12.g516.i2	mRNA.RE10975
Hcv1.av93.c12.g517.i1	mRNA.RE15729
Hcv1.av93.c12.g518.i1	mRNA.RE13565
Hcv1.av93.c12.g521.i1	mRNA.RE05787
Hcv1.av93.c12.g522.i1	mRNA.RE13584
Hcv1.av93.c12.g535.i1	mRNA.RE02612
Hcv1.av93.c12.g536.i1	mRNA.RE15304
Hcv1.av93.c12.g537.i5	mRNA.RE01973
Hcv1.av93.c12.g539.i1	mRNA.RE02144
Hcv1.av93.c12.g54.i1	mRNA.RE04409
Hcv1.av93.c12.g540.i1	mRNA.RE08752
Hcv1.av93.c12.g549.i1	mRNA.RE11533
Hcv1.av93.c12.g55.i1	mRNA.RE08322
Hcv1.av93.c12.g551.i1	mRNA.RE15787
Hcv1.av93.c12.g559.i1	mRNA.RE14285
Hcv1.av93.c12.g560.i1	mRNA.RE12428
Hcv1.av93.c12.g561.i1	mRNA.RE11842
Hcv1.av93.c12.g565.i1	mRNA.RE03571
Hcv1.av93.c12.g566.i1	mRNA.RE08306
Hcv1.av93.c12.g57.i1	mRNA.RE00935
Hcv1.av93.c12.g59.i1	mRNA.RE12233
Hcv1.av93.c12.g6.i1	mRNA.RE16887
Hcv1.av93.c12.g71.i4	mRNA.RE05003
Hcv1.av93.c12.g73.i1	mRNA.RE04293
Hcv1.av93.c12.g76.i1	mRNA.RE10454
Hcv1.av93.c12.g8.i1	mRNA.RE01784
Hcv1.av93.c12.g83.i1	mRNA.RE02456
Hcv1.av93.c12.g87.i1	mRNA.RE14330
Hcv1.av93.c12.g88.i2	mRNA.RE10901
Hcv1.av93.c12.g9.i2	mRNA.RE07402
Hcv1.av93.c12.g90.i1	mRNA.RE10490
Hcv1.av93.c12.g91.i1	mRNA.RE01257
Hcv1.av93.c12.g92.i1	mRNA.RE09459
Hcv1.av93.c12.g94.i1	mRNA.RE06833
Hcv1.av93.c12.g95.i1	mRNA.RE07268
Hcv1.av93.c12.g97.i1	mRNA.RE02117
Hcv1.av93.c12.g98.i1	mRNA.RE06404
Hcv1.av93.c13.g100.i2	mRNA.RE10293
Hcv1.av93.c13.g101.i1	mRNA.RE03053
Hcv1.av93.c13.g104.i1	mRNA.RE09327
Hcv1.av93.c13.g105.i2	mRNA.RE02525
Hcv1.av93.c13.g107.i1	mRNA.RE02754
Hcv1.av93.c13.g108.i1	mRNA.RE10158
Hcv1.av93.c13.g109.i1	mRNA.RE02896
Hcv1.av93.c13.g11.i1	mRNA.RE10210
Hcv1.av93.c13.g110.i1	mRNA.RE02897
Hcv1.av93.c13.g111.i1	mRNA.RE10072
Hcv1.av93.c13.g112.i1	mRNA.RE09343
Hcv1.av93.c13.g113.i1	mRNA.RE14855
Hcv1.av93.c13.g119.i1	mRNA.RE06995
Hcv1.av93.c13.g128.i1	mRNA.RE09080
Hcv1.av93.c13.g129.i1	mRNA.RE13110
Hcv1.av93.c13.g130.i1	mRNA.RE02454
Hcv1.av93.c13.g137.i1	mRNA.RE06685
Hcv1.av93.c13.g138.i1	mRNA.RE00805
Hcv1.av93.c13.g139.i2	mRNA.RE09706
Hcv1.av93.c13.g140.i1	mRNA.RE09707
Hcv1.av93.c13.g141.i1	mRNA.RE12801
Hcv1.av93.c13.g144.i2	mRNA.RE06174
Hcv1.av93.c13.g147.i1	mRNA.RE01711
Hcv1.av93.c13.g149.i1	mRNA.RE02573
Hcv1.av93.c13.g151.i1	mRNA.RE08704
Hcv1.av93.c13.g152.i1	mRNA.RE02271
Hcv1.av93.c13.g153.i1	mRNA.RE11206
Hcv1.av93.c13.g16.i1	mRNA.RE04212
Hcv1.av93.c13.g160.i1	mRNA.RE14045
Hcv1.av93.c13.g162.i1	mRNA.RE01697
Hcv1.av93.c13.g165.i3	mRNA.RE05860
Hcv1.av93.c13.g166.i1	mRNA.RE09344
Hcv1.av93.c13.g170.i1	mRNA.RE09511
Hcv1.av93.c13.g171.i3	mRNA.RE08594
Hcv1.av93.c13.g172.i1	mRNA.RE09425
Hcv1.av93.c13.g176.i2	mRNA.RE13998
Hcv1.av93.c13.g179.i1	mRNA.RE06496
Hcv1.av93.c13.g192.i1	mRNA.RE04905
Hcv1.av93.c13.g198.i1	mRNA.RE04743
Hcv1.av93.c13.g199.i1	mRNA.RE07225
Hcv1.av93.c13.g207.i1	mRNA.RE12765
Hcv1.av93.c13.g214.i2	mRNA.RE02936
Hcv1.av93.c13.g215.i1	mRNA.RE13925
Hcv1.av93.c13.g217.i1	mRNA.RE13586
Hcv1.av93.c13.g22.i1	mRNA.RE12466
Hcv1.av93.c13.g220.i1	mRNA.RE16204
Hcv1.av93.c13.g223.i1	mRNA.RE02519
Hcv1.av93.c13.g224.i1	mRNA.RE07030
Hcv1.av93.c13.g225.i1	mRNA.RE16836
Hcv1.av93.c13.g229.i1	mRNA.RE03295
Hcv1.av93.c13.g232.i1	mRNA.RE01807
Hcv1.av93.c13.g239.i1	mRNA.RE16116
Hcv1.av93.c13.g241.i1	mRNA.RE10554
Hcv1.av93.c13.g247.i2	mRNA.RE09415
Hcv1.av93.c13.g258.i1	mRNA.RE14895
Hcv1.av93.c13.g262.i1	mRNA.RE07277
Hcv1.av93.c13.g268.i1	mRNA.RE03066
Hcv1.av93.c13.g269.i1	mRNA.RE16424
Hcv1.av93.c13.g270.i1	mRNA.RE15588
Hcv1.av93.c13.g273.i1	mRNA.RE01731
Hcv1.av93.c13.g274.i1	mRNA.RE05204
Hcv1.av93.c13.g275.i3	mRNA.RE09424
Hcv1.av93.c13.g277.i1	mRNA.RE01780
Hcv1.av93.c13.g282.i1	mRNA.RE02899
Hcv1.av93.c13.g286.i3	mRNA.RE01811
Hcv1.av93.c13.g287.i1	mRNA.RE08319
Hcv1.av93.c13.g288.i1	mRNA.RE04515
Hcv1.av93.c13.g290.i1	mRNA.RE05304
Hcv1.av93.c13.g291.i1	mRNA.RE13948
Hcv1.av93.c13.g294.i1	mRNA.RE15686
Hcv1.av93.c13.g301.i1	mRNA.RE02632
Hcv1.av93.c13.g304.i1	mRNA.RE11144
Hcv1.av93.c13.g307.i1	mRNA.RE07425
Hcv1.av93.c13.g308.i1	mRNA.RE10935
Hcv1.av93.c13.g309.i1	mRNA.RE09360
Hcv1.av93.c13.g312.i1	mRNA.RE04771
Hcv1.av93.c13.g313.i1	mRNA.RE07011
Hcv1.av93.c13.g315.i1	mRNA.RE15809
Hcv1.av93.c13.g325.i3	mRNA.RE09371
Hcv1.av93.c13.g326.i1	mRNA.RE09439
Hcv1.av93.c13.g330.i2	mRNA.RE02500
Hcv1.av93.c13.g333.i1	mRNA.RE04628
Hcv1.av93.c13.g334.i1	mRNA.RE15052
Hcv1.av93.c13.g335.i2	mRNA.RE15649
Hcv1.av93.c13.g336.i1	mRNA.RE07572
Hcv1.av93.c13.g337.i1	mRNA.RE03474
Hcv1.av93.c13.g339.i1	mRNA.RE09087
Hcv1.av93.c13.g340.i1	mRNA.RE13928
Hcv1.av93.c13.g341.i1	mRNA.RE09734
Hcv1.av93.c13.g342.i1	mRNA.RE14072
Hcv1.av93.c13.g343.i1	mRNA.RE07679
Hcv1.av93.c13.g344.i2	mRNA.RE15991
Hcv1.av93.c13.g346.i2	mRNA.RE14043
Hcv1.av93.c13.g348.i1	mRNA.RE13113
Hcv1.av93.c13.g354.i1	mRNA.RE05314
Hcv1.av93.c13.g355.i1	mRNA.RE06691
Hcv1.av93.c13.g357.i1	mRNA.RE15034
Hcv1.av93.c13.g358.i1	mRNA.RE14205
Hcv1.av93.c13.g359.i3	mRNA.RE06544
Hcv1.av93.c13.g360.i1	mRNA.RE03480
Hcv1.av93.c13.g363.i1	mRNA.RE11352
Hcv1.av93.c13.g364.i1	mRNA.RE09072
Hcv1.av93.c13.g38.i2	mRNA.RE12998
Hcv1.av93.c13.g389.i1	mRNA.RE11987
Hcv1.av93.c13.g398.i2	mRNA.RE14245
Hcv1.av93.c13.g4.i1	mRNA.RE05075
Hcv1.av93.c13.g405.i1	mRNA.RE15593
Hcv1.av93.c13.g412.i1	mRNA.RE06126
Hcv1.av93.c13.g415.i1	mRNA.RE01805
Hcv1.av93.c13.g419.i1	mRNA.RE11343
Hcv1.av93.c13.g420.i1	mRNA.RE15633
Hcv1.av93.c13.g421.i1	mRNA.RE15524
Hcv1.av93.c13.g425.i1	mRNA.RE13983
Hcv1.av93.c13.g429.i2	mRNA.RE16565
Hcv1.av93.c13.g43.i1	mRNA.RE09456
Hcv1.av93.c13.g430.i1	mRNA.RE14645
Hcv1.av93.c13.g433.i1	mRNA.RE16935
Hcv1.av93.c13.g445.i1	mRNA.RE09890
Hcv1.av93.c13.g448.i1	mRNA.RE09508
Hcv1.av93.c13.g449.i1	mRNA.RE09582
Hcv1.av93.c13.g450.i1	mRNA.RE10077
Hcv1.av93.c13.g453.i1	mRNA.RE00623
Hcv1.av93.c13.g456.i1	mRNA.RE13929
Hcv1.av93.c13.g46.i1	mRNA.RE12093
Hcv1.av93.c13.g461.i1	mRNA.RE10642
